ENSDARG00000077720	CABZ01062422.1
ENSDARG00000089117	BX088603.2
ENSDARG00000087177	BX088603.1
ENSDARG00000091710	U6
ENSDARG00000088707	si:dkey-47k16.4
ENSDARG00000088936	BX649556.2
ENSDARG00000091701	BX649556.4
ENSDARG00000095075	BX649556.5
ENSDARG00000087182	BX649556.1
ENSDARG00000091357	BX649556.3
ENSDARG00000090055	BX649331.1
ENSDARG00000095738	BX649331.2
ENSDARG00000077923	zgc:174311
ENSDARG00000092753	CT573263.3
ENSDARG00000091229	CT573263.1
ENSDARG00000092268	CT573263.2
ENSDARG00000090542	CU467943.2
ENSDARG00000087930	CU467943.1
ENSDARG00000090005	BX572103.2
ENSDARG00000093894	BX572103.3
ENSDARG00000094412	SI:DKEY-78K22.2
ENSDARG00000095658	BX572103.4
ENSDARG00000084632	BX572103.1
ENSDARG00000068740	CR936856.1
ENSDARG00000083666	U6
ENSDARG00000083912	U6
ENSDARG00000085217	U6
ENSDARG00000084309	U6
ENSDARG00000085637	U6
ENSDARG00000091162	U6
ENSDARG00000088871	U6
ENSDARG00000084481	U6
ENSDARG00000084199	U6
ENSDARG00000083855	U6
ENSDARG00000084570	U6
ENSDARG00000084522	U6
ENSDARG00000085905	U6
ENSDARG00000085891	U6
ENSDARG00000084313	U6
ENSDARG00000084926	U6
ENSDARG00000090487	U6
ENSDARG00000089712	U6
ENSDARG00000083407	U1
ENSDARG00000080837	U1
ENSDARG00000080028	U1
ENSDARG00000080517	U1
ENSDARG00000080737	U1
ENSDARG00000082052	U1
ENSDARG00000080510	U1
ENSDARG00000081741	U1
ENSDARG00000080800	U1
ENSDARG00000081217	U1
ENSDARG00000081572	U1
ENSDARG00000081870	U1
ENSDARG00000080588	U1
ENSDARG00000054502	si:ch211-238e22.5
ENSDARG00000080770	BX088712.1
ENSDARG00000091295	BX088712.2
ENSDARG00000074206	BX511215.1
ENSDARG00000090109	BX649308.2
ENSDARG00000086987	BX649308.1
ENSDARG00000076936	BX908777.1
ENSDARG00000091920	BX908777.2
ENSDARG00000091437	U6
ENSDARG00000088659	U6
ENSDARG00000088780	U6
ENSDARG00000091649	U6
ENSDARG00000087924	U6
ENSDARG00000086532	U6
ENSDARG00000091456	U6
ENSDARG00000088055	U6
ENSDARG00000087973	U6
ENSDARG00000085394	U6
ENSDARG00000086330	U6
ENSDARG00000087986	U6
ENSDARG00000091082	U6
ENSDARG00000083908	U6
ENSDARG00000084494	U6
ENSDARG00000084680	U6
ENSDARG00000082136	U1
ENSDARG00000080703	U1
ENSDARG00000082848	U1
ENSDARG00000093555	CT573234.2
ENSDARG00000091815	CT573234.1
ENSDARG00000083097	BX248128.1
ENSDARG00000091805	BX248128.4
ENSDARG00000088382	BX248128.3
ENSDARG00000091339	SI:DKEY-78K22.2
ENSDARG00000089851	U6
ENSDARG00000086061	U6
ENSDARG00000091286	U6
ENSDARG00000087840	U1
ENSDARG00000091314	U1
ENSDARG00000086402	BX248128.2
ENSDARG00000087791	SI:DKEY-78K22.2
ENSDARG00000091363	SI:DKEY-78K22.2
ENSDARG00000091316	BX276122.1
ENSDARG00000094592	CR450840.3
ENSDARG00000090954	CR450840.1
ENSDARG00000094076	CR450840.2
ENSDARG00000088413	CU466240.1
ENSDARG00000093293	CU466240.2
ENSDARG00000088734	BX470149.1
ENSDARG00000094054	BX324142.2
ENSDARG00000092265	BX324142.1
ENSDARG00000095247	SI:DKEY-78K22.2
ENSDARG00000095604	BX324142.3
ENSDARG00000088336	BX294653.3
ENSDARG00000087355	BX294653.2
ENSDARG00000086431	BX294653.1
ENSDARG00000092817	SI:DKEY-78K22.2
ENSDARG00000094358	BX294653.4
ENSDARG00000086800	BX324155.1
ENSDARG00000094917	BX324155.2
ENSDARG00000090898	BX321887.1
ENSDARG00000085535	U6
ENSDARG00000085866	U6
ENSDARG00000084887	U6
ENSDARG00000085792	U6
ENSDARG00000084612	U6
ENSDARG00000084749	U6
ENSDARG00000089343	U6
ENSDARG00000085793	U6
ENSDARG00000084807	U6
ENSDARG00000085403	U6
ENSDARG00000085244	U6
ENSDARG00000083990	U6
ENSDARG00000088097	U6
ENSDARG00000084975	U6
ENSDARG00000084470	U6
ENSDARG00000084951	U6
ENSDARG00000085187	U6
ENSDARG00000085816	U6
ENSDARG00000080863	U1
ENSDARG00000080509	U1
ENSDARG00000088803	SI:DKEY-78K22.2
ENSDARG00000087824	BX324179.2
ENSDARG00000088239	SI:DKEY-78K22.2
ENSDARG00000086632	BX324179.1
ENSDARG00000089827	BX465848.1
ENSDARG00000090672	BX465848.2
ENSDARG00000087230	SI:DKEY-78K22.2
ENSDARG00000018847	UTP20
ENSDARG00000014310	arl1
ENSDARG00000008423	tfec
ENSDARG00000090148	BX510909.4
ENSDARG00000087658	BX510909.3
ENSDARG00000086829	BX510909.2
ENSDARG00000078340	BX510909.1
ENSDARG00000087036	BX511020.1
ENSDARG00000092785	BX511078.3
ENSDARG00000091491	BX511078.2
ENSDARG00000090420	BX511078.1
ENSDARG00000088107	CR388042.1
ENSDARG00000095501	ENSDARG00000095501
ENSDARG00000091422	U1
ENSDARG00000087730	U1
ENSDARG00000086875	5S_rRNA
ENSDARG00000086347	BX537120.2
ENSDARG00000087447	5S_rRNA
ENSDARG00000086273	5S_rRNA
ENSDARG00000086042	5S_rRNA
ENSDARG00000087876	5S_rRNA
ENSDARG00000084015	5S_rRNA
ENSDARG00000067697	BX537120.1
ENSDARG00000087982	CR352303.1
ENSDARG00000090693	CR352303.2
ENSDARG00000086804	U1
ENSDARG00000089406	ZFP37 (25 of 39)
ENSDARG00000086793	BX548067.1
ENSDARG00000095742	SI:DKEY-78K22.2
ENSDARG00000090798	SI:DKEY-78K22.2
ENSDARG00000037926	CPNE8 (1 of 2)
ENSDARG00000078110	BX649303.1
ENSDARG00000093341	NLRX1 (12 of 15)
ENSDARG00000075322	zgc:174178
ENSDARG00000092019	BX901894.1
ENSDARG00000075483	PLXNA3
ENSDARG00000087027	BX664622.1
ENSDARG00000086439	SI:DKEY-78K22.2
ENSDARG00000087642	SI:DKEY-78K22.2
ENSDARG00000075475	CABZ01049117.1
ENSDARG00000086653	WAC (3 of 3)
ENSDARG00000062044	cables1
ENSDARG00000035831	gata6
ENSDARG00000055581	MIB1 (1 of 2)
ENSDARG00000080866	mir1-2
ENSDARG00000082925	mir133a-1
ENSDARG00000063035	100334523
ENSDARG00000087915	BX927374.1
ENSDARG00000091773	CR927215.4
ENSDARG00000087104	CR927215.1
ENSDARG00000090101	CR927215.3
ENSDARG00000088328	CR927215.2
ENSDARG00000090102	5S_rRNA
ENSDARG00000089633	BX942821.1
ENSDARG00000088670	si:ch211-127b6.1
ENSDARG00000053830	NLRX1 (3 of 15)
ENSDARG00000094525	ZFP37 (36 of 39)
ENSDARG00000090207	CR847906.4
ENSDARG00000090775	CR847906.5
ENSDARG00000088657	CR847906.2
ENSDARG00000089520	CR847906.3
ENSDARG00000088551	CR847906.1
ENSDARG00000089376	CR792455.1
ENSDARG00000074780	zgc:174698
ENSDARG00000089311	ZFP37 (29 of 39)
ENSDARG00000088105	U1
ENSDARG00000088594	U1
ENSDARG00000090350	CABZ01000592.1
ENSDARG00000088994	ZFP37 (22 of 39)
ENSDARG00000087462	CR450780.2
ENSDARG00000087314	CR450780.1
ENSDARG00000074446	zgc:173714
ENSDARG00000076331	SI:DKEY-78K22.2
ENSDARG00000089551	CABZ01001448.1
ENSDARG00000090090	CU302413.2
ENSDARG00000087744	CU302413.1
ENSDARG00000078808	ENSDARG00000078808
ENSDARG00000068975	CU207245.1
ENSDARG00000089984	CU207245.3
ENSDARG00000086353	CU207245.2
ENSDARG00000091021	SI:DKEY-78K22.2
ENSDARG00000087588	CABZ01002188.1
ENSDARG00000077800	fancm
ENSDARG00000059052	SLC25A29 (2 of 2)
ENSDARG00000087889	slc25a47b
ENSDARG00000091681	ZFP37 (23 of 39)
ENSDARG00000088662	U6
ENSDARG00000090235	U6
ENSDARG00000090266	U6
ENSDARG00000086599	U6
ENSDARG00000091036	U6
ENSDARG00000090633	U6
ENSDARG00000088678	U6
ENSDARG00000086501	U6
ENSDARG00000090349	U6
ENSDARG00000088242	U6
ENSDARG00000087542	U1
ENSDARG00000091307	U6
ENSDARG00000091415	U1
ENSDARG00000087875	U1
ENSDARG00000091049	CABZ01002339.1
ENSDARG00000087945	U6
ENSDARG00000087904	U6
ENSDARG00000086648	U6
ENSDARG00000086203	U6
ENSDARG00000088363	U6
ENSDARG00000089459	U6
ENSDARG00000088196	U6
ENSDARG00000089045	U1
ENSDARG00000091611	U1
ENSDARG00000087221	CR391997.1
ENSDARG00000090067	CR391997.2
ENSDARG00000091375	CABZ01002349.1
ENSDARG00000056168	GPR116 (2 of 6)
ENSDARG00000068889	znf395
ENSDARG00000068884	FBXO16 (1 of 2)
ENSDARG00000086053	5S_rRNA
ENSDARG00000088393	CABZ01002768.1
ENSDARG00000088568	zgc:174646
ENSDARG00000068998	CABZ01003056.1
ENSDARG00000088262	CABZ01003296.1
ENSDARG00000087959	CABZ01003343.1
ENSDARG00000090377	CABZ01003344.1
ENSDARG00000091142	ZFP37 (27 of 39)
ENSDARG00000062840	DTX1
ENSDARG00000089380	RASAL1 (1 of 2)
ENSDARG00000079617	zgc:101560
ENSDARG00000091480	CR354372.1
ENSDARG00000028343	zgc:101560
ENSDARG00000089923	LRRN3
ENSDARG00000090750	5S_rRNA
ENSDARG00000091682	5S_rRNA
ENSDARG00000088613	CABZ01006178.1
ENSDARG00000060269	ENSDARG00000060269
ENSDARG00000091256	CABZ01007829.1
ENSDARG00000090490	zgc:171695
ENSDARG00000091120	CABZ01008751.1
ENSDARG00000089494	RNF213 (2 of 3)
ENSDARG00000086115	CZv9_NA879H1orf43 (1 of 2)
ENSDARG00000088037	USP30 (2 of 3)
ENSDARG00000086976	USP30 (1 of 3)
ENSDARG00000089973	SI:DKEY-78K22.2
ENSDARG00000088909	SI:DKEY-78K22.2
ENSDARG00000037566	FIG4 (2 of 2)
ENSDARG00000088856	CABZ01078654.1
ENSDARG00000029446	bcmo1b
ENSDARG00000034369	bcmo1a
ENSDARG00000038950	BOLA3
ENSDARG00000002502	vat1l
ENSDARG00000084289	5S_rRNA
ENSDARG00000060017	CLEC3A
ENSDARG00000088890	usp47
ENSDARG00000077630	dkk3a
ENSDARG00000088114	CABZ01012414.1
ENSDARG00000088547	CABZ01015815.1
ENSDARG00000091547	PBX4 (2 of 2)
ENSDARG00000089809	U6
ENSDARG00000086629	U6
ENSDARG00000086491	U6
ENSDARG00000086068	U6
ENSDARG00000088085	U6
ENSDARG00000087705	U6
ENSDARG00000090136	U6
ENSDARG00000086051	U6
ENSDARG00000083098	U6
ENSDARG00000090843	CABZ01017723.1
ENSDARG00000086399	CABZ01017725.1
ENSDARG00000089812	CABZ01017733.1
ENSDARG00000087320	CABZ01017734.1
ENSDARG00000088056	KMO (2 of 2)
ENSDARG00000089398	U6
ENSDARG00000087671	ntn4
ENSDARG00000036570	snrpf
ENSDARG00000091401	HMGXB4 (2 of 2)
ENSDARG00000089956	CABZ01019032.3
ENSDARG00000086312	CABZ01019032.1
ENSDARG00000089240	CABZ01019032.2
ENSDARG00000087521	CABZ01019476.1
ENSDARG00000075575	zgc:193711
ENSDARG00000033954	CABZ01020188.1
ENSDARG00000086303	CABZ01020188.2
ENSDARG00000010511	prc1a
ENSDARG00000011135	CABZ01021063.1
ENSDARG00000089535	CABZ01021454.1
ENSDARG00000091251	CABZ01021454.3
ENSDARG00000090157	CABZ01021454.2
ENSDARG00000086367	ZNF814 (1 of 7)
ENSDARG00000088731	CABZ01021449.1
ENSDARG00000091442	zgc:152938
ENSDARG00000031537	wu:fl09a04
ENSDARG00000091199	FP245465.3
ENSDARG00000068160	FP245465.2
ENSDARG00000045470	FP245465.1
ENSDARG00000091292	CABZ01021437.1
ENSDARG00000090282	CABZ01021435.3
ENSDARG00000091700	CABZ01021435.4
ENSDARG00000088267	CABZ01021435.1
ENSDARG00000090087	CABZ01021435.2
ENSDARG00000088704	CABZ01021433.1
ENSDARG00000086845	CABZ01021430.1
ENSDARG00000088821	CABZ01021426.1
ENSDARG00000074281	ADAMTS20
ENSDARG00000087207	SI:DKEY-78K22.2
ENSDARG00000091541	CABZ01022575.2
ENSDARG00000088134	ZGPAT (2 of 2)
ENSDARG00000044395	ZFP36
ENSDARG00000090932	CT025651.2
ENSDARG00000087587	CT025651.1
ENSDARG00000052780	zgc:113098
ENSDARG00000081259	5S_rRNA
ENSDARG00000086581	CABZ01023254.1
ENSDARG00000052776	CABZ01023255.1
ENSDARG00000090691	CABZ01024333.1
ENSDARG00000070367	BCAM (2 of 2)
ENSDARG00000090911	CABZ01024842.1
ENSDARG00000070248	CABZ01024848.1
ENSDARG00000091798	CABZ01024854.1
ENSDARG00000087949	CABZ01024856.1
ENSDARG00000080023	CABZ01025311.1
ENSDARG00000088427	5S_rRNA
ENSDARG00000086961	ME1 (2 of 2)
ENSDARG00000088887	MCHR2 (2 of 2)
ENSDARG00000089120	CABZ01026065.1
ENSDARG00000089081	U6
ENSDARG00000059862	cdk11b
ENSDARG00000090040	MMP26
ENSDARG00000091218	U1
ENSDARG00000087211	U1
ENSDARG00000090080	U1
ENSDARG00000088570	U1
ENSDARG00000090318	U1
ENSDARG00000090715	CU104716.1
ENSDARG00000091507	5S_rRNA
ENSDARG00000091545	CU104716.2
ENSDARG00000068076	psmd7
ENSDARG00000088527	TTC39A (2 of 2)
ENSDARG00000038404	CABZ01029900.1
ENSDARG00000090405	CABZ01029902.2
ENSDARG00000074598	CABZ01029902.1
ENSDARG00000079384	CCDC134 (1 of 2)
ENSDARG00000076734	mhc1zaa
ENSDARG00000089220	CABZ01030016.1
ENSDARG00000032444	CABZ01030429.1
ENSDARG00000088995	CABZ01030692.1
ENSDARG00000073818	SI:DKEY-78K22.2
ENSDARG00000090766	CABZ01032488.1
ENSDARG00000085609	5S_rRNA
ENSDARG00000053363	edar
ENSDARG00000090554	CCDC138
ENSDARG00000088779	FNDC3B (3 of 3)
ENSDARG00000088250	DIP2C (1 of 2)
ENSDARG00000087520	CABZ01032951.1
ENSDARG00000090999	ENSDARG00000090999
ENSDARG00000089584	ENSDARG00000089584
ENSDARG00000087347	ENSDARG00000087347
ENSDARG00000087702	5S_rRNA
ENSDARG00000086111	5S_rRNA
ENSDARG00000089056	SSH3 (1 of 2)
ENSDARG00000075148	CABZ01033874.1
ENSDARG00000088325	CABZ01034082.1
ENSDARG00000088548	SI:DKEY-78K22.2
ENSDARG00000089499	CABZ01034089.1
ENSDARG00000086513	CU138542.1
ENSDARG00000086339	SI:DKEY-78K22.2
ENSDARG00000091014	CU138542.3
ENSDARG00000088627	CU138542.2
ENSDARG00000088218	CSMD1 (2 of 2)
ENSDARG00000079193	ptmab
ENSDARG00000002837	LACTB2
ENSDARG00000019669	CASKIN2 (3 of 4)
ENSDARG00000076706	CABZ01038708.1
ENSDARG00000090057	CABZ01038802.1
ENSDARG00000089155	SI:DKEY-78K22.2
ENSDARG00000070402	CABZ01040253.1
ENSDARG00000092747	CU457816.2
ENSDARG00000092340	CU457816.1
ENSDARG00000093184	NLRX1 (11 of 15)
ENSDARG00000088236	RNH1 (7 of 8)
ENSDARG00000086719	CT737182.1
ENSDARG00000075239	SPAG16
ENSDARG00000075896	CABZ01040790.1
ENSDARG00000044456	pcyt1bb
ENSDARG00000060460	pdk3b
ENSDARG00000077159	TAOK1 (1 of 3)
ENSDARG00000090613	CABZ01042513.3
ENSDARG00000091470	CABZ01042513.4
ENSDARG00000086727	CABZ01042513.2
ENSDARG00000086264	CABZ01042513.1
ENSDARG00000086030	PCBP3 (2 of 2)
ENSDARG00000087208	CABZ01042671.1
ENSDARG00000088760	TAAR1 (7 of 92)
ENSDARG00000091786	TAAR1 (9 of 92)
ENSDARG00000078462	ENSDARG00000078462
ENSDARG00000089194	TACO1 (2 of 2)
ENSDARG00000087885	CABZ01044157.1
ENSDARG00000012772	zgc:153845
ENSDARG00000036524	PRPSAP1
ENSDARG00000086538	CABZ01078634.1
ENSDARG00000091487	CABZ01078634.2
ENSDARG00000090644	CU929394.1
ENSDARG00000004965	bmp5
ENSDARG00000088883	U6
ENSDARG00000087533	U6
ENSDARG00000091473	U6
ENSDARG00000087667	U6
ENSDARG00000086755	U6
ENSDARG00000086349	U6
ENSDARG00000089218	CU457778.3
ENSDARG00000075103	CU457778.2
ENSDARG00000092547	CU457778.4
ENSDARG00000070602	CU457778.1
ENSDARG00000090915	CABZ01051641.1
ENSDARG00000093283	CABZ01051641.2
ENSDARG00000088564	CABZ01045617.1
ENSDARG00000091047	CABZ01045617.2
ENSDARG00000087504	CABZ01045618.2
ENSDARG00000087309	CABZ01045618.1
ENSDARG00000087976	CABZ01045755.1
ENSDARG00000079535	CU929403.1
ENSDARG00000055949	olfcd2
ENSDARG00000090313	CABZ01047284.1
ENSDARG00000091202	CABZ01047286.1
ENSDARG00000058980	cyp1c1
ENSDARG00000091642	CWF19L2 (2 of 2)
ENSDARG00000090211	5S_rRNA
ENSDARG00000091396	CABZ01048402.1
ENSDARG00000087026	CABZ01049625.1
ENSDARG00000087546	CABZ01050270.1
ENSDARG00000086887	RIIAD1
ENSDARG00000018406	TFR2 (2 of 2)
ENSDARG00000059555	PXMP4
ENSDARG00000074155	tgm5l
ENSDARG00000043692	vstm2l
ENSDARG00000077514	SLITRK1
ENSDARG00000038472	MTMR4
ENSDARG00000086684	SI:DKEY-78K22.2
ENSDARG00000057147	hadhb
ENSDARG00000080624	CABZ01053550.1
ENSDARG00000087275	SLC44A1 (3 of 3)
ENSDARG00000086575	CU929113.1
ENSDARG00000057934	cep72
ENSDARG00000067585	TPPP
ENSDARG00000090043	ZNF473 (2 of 2)
ENSDARG00000074616	CABZ01054391.1
ENSDARG00000088506	CABZ01054455.1
ENSDARG00000029982	zgc:85843
ENSDARG00000003882	sbno2a
ENSDARG00000083867	5S_rRNA
ENSDARG00000085821	5S_rRNA
ENSDARG00000090354	MLLT4 (2 of 2)
ENSDARG00000059910	KNDC1
ENSDARG00000086974	CABZ01055017.1
ENSDARG00000086777	CABZ01055170.1
ENSDARG00000090680	FBXO10 (2 of 2)
ENSDARG00000090100	FKBP6 (2 of 2)
ENSDARG00000087246	CABZ01055715.1
ENSDARG00000086298	CABZ01056802.1
ENSDARG00000089427	FAM20A (1 of 2)
ENSDARG00000086156	SYNPO
ENSDARG00000088391	CABZ01058171.1
ENSDARG00000018722	MCOLN2
ENSDARG00000086174	CLCC1
ENSDARG00000086809	CU693480.1
ENSDARG00000059685	wdr47b
ENSDARG00000039143	CABZ01059923.1
ENSDARG00000088446	U1
ENSDARG00000086448	U1
ENSDARG00000088438	U6
ENSDARG00000086891	U6
ENSDARG00000088478	CABZ01060332.1
ENSDARG00000015102	INF2
ENSDARG00000026561	dnajc17
ENSDARG00000012187	gchfr
ENSDARG00000018298	cyp1c2
ENSDARG00000074856	FCGBP
ENSDARG00000075552	UBE2B
ENSDARG00000087718	CABZ01074982.1
ENSDARG00000095220	ZFP37 (14 of 39)
ENSDARG00000093566	CU182107.1
ENSDARG00000095207	CABZ01060496.1
ENSDARG00000075258	zgc:112970
ENSDARG00000077110	zgc:174680
ENSDARG00000087189	CABZ01060491.1
ENSDARG00000090070	SI:DKEY-78K22.2
ENSDARG00000092969	CABZ01060490.2
ENSDARG00000086610	CABZ01060490.1
ENSDARG00000087294	5S_rRNA
ENSDARG00000088971	CABZ01061146.1
ENSDARG00000090514	MYOM2
ENSDARG00000058353	CSMD1 (1 of 2)
ENSDARG00000087668	CABZ01061549.1
ENSDARG00000088015	CABZ01061551.1
ENSDARG00000010297	ENSDARG00000010297
ENSDARG00000083175	5S_rRNA
ENSDARG00000088396	SIPA1L2
ENSDARG00000039048	alp3
ENSDARG00000075801	wu:fb16f03
ENSDARG00000082852	CABZ01061894.1
ENSDARG00000086948	5S_rRNA
ENSDARG00000090158	PRKD2
ENSDARG00000090665	CABZ01063203.1
ENSDARG00000086475	SHISA6 (2 of 2)
ENSDARG00000035709	lhb
ENSDARG00000018800	COX20
ENSDARG00000077328	ENSDARG00000077328
ENSDARG00000086167	CABZ01063534.1
ENSDARG00000043016	NUDT12
ENSDARG00000088075	GRAMD3
ENSDARG00000088470	5S_rRNA
ENSDARG00000091220	SLC12A2 (5 of 6)
ENSDARG00000079098	CABZ01064108.1
ENSDARG00000085034	5S_rRNA
ENSDARG00000088001	CABZ01064771.1
ENSDARG00000063315	CABZ01064968.1
ENSDARG00000089818	CABZ01064968.2
ENSDARG00000090576	CABZ01064968.3
ENSDARG00000090894	CABZ01064972.2
ENSDARG00000070622	CABZ01064972.1
ENSDARG00000091311	CABZ01064973.2
ENSDARG00000068735	CABZ01064973.1
ENSDARG00000074413	ENSDARG00000074413
ENSDARG00000091384	ENSDARG00000091384
ENSDARG00000079485	si:ch211-234c11.3
ENSDARG00000024928	ITIH4
ENSDARG00000076931	capn7
ENSDARG00000013657	sh3bp5b
ENSDARG00000031153	mrps15
ENSDARG00000079561	OSCP1 (1 of 2)
ENSDARG00000089052	STK40
ENSDARG00000076880	CABZ01066511.1
ENSDARG00000086781	CABZ01066514.1
ENSDARG00000090864	CABZ01066716.1
ENSDARG00000071402	CABZ01066717.1
ENSDARG00000087255	CABZ01066717.2
ENSDARG00000077486	plxna1
ENSDARG00000041566	adamts1
ENSDARG00000087505	CYYR1
ENSDARG00000026738	CABZ01066897.1
ENSDARG00000086206	CABZ01066957.1
ENSDARG00000074042	SLC9A3R1 (1 of 2)
ENSDARG00000068462	CASKIN2 (4 of 4)
ENSDARG00000053597	CABZ01067020.1
ENSDARG00000076249	CABZ01067080.1
ENSDARG00000080091	5S_rRNA
ENSDARG00000079061	CABZ01067727.1
ENSDARG00000034763	ccnf
ENSDARG00000086063	CABZ01067743.1
ENSDARG00000081107	5S_rRNA
ENSDARG00000012490	PDE1C
ENSDARG00000091335	SI:DKEY-78K22.2
ENSDARG00000086830	CABZ01068060.1
ENSDARG00000088730	ARHGAP6
ENSDARG00000087172	LEPROTL1
ENSDARG00000057127	MORC4
ENSDARG00000067857	pmt
ENSDARG00000089410	ENSDARG00000089410
ENSDARG00000085048	5S_rRNA
ENSDARG00000076553	trim32
ENSDARG00000089591	WDR77
ENSDARG00000089492	ENSDARG00000089492
ENSDARG00000089040	ENSDARG00000089040
ENSDARG00000055199	CABZ01068324.1
ENSDARG00000091490	5S_rRNA
ENSDARG00000076178	PGBD4 (1 of 8)
ENSDARG00000057436	MUC19
ENSDARG00000090031	CABZ01069239.1
ENSDARG00000091434	CLRN3
ENSDARG00000087416	CABZ01069268.1
ENSDARG00000022744	PIGB
ENSDARG00000076525	nadka
ENSDARG00000078396	wdr46
ENSDARG00000090786	ybey
ENSDARG00000086364	ENSDARG00000086364
ENSDARG00000089436	CABZ01070852.2
ENSDARG00000090411	CABZ01070854.1
ENSDARG00000087665	hspb12
ENSDARG00000074681	CLCN2 (1 of 3)
ENSDARG00000087003	CABZ01071642.2
ENSDARG00000087062	U6
ENSDARG00000091389	CABZ01071846.1
ENSDARG00000035227	SLC37A3
ENSDARG00000074825	zgc:171422
ENSDARG00000035225	tmem19
ENSDARG00000075026	mkxb
ENSDARG00000088921	CABZ01072143.1
ENSDARG00000088237	CABZ01072312.1
ENSDARG00000041866	gnrhr1
ENSDARG00000086799	ENSDARG00000086799
ENSDARG00000077748	SLC35E2B
ENSDARG00000056425	CABZ01072487.1
ENSDARG00000083617	CABZ01072487.2
ENSDARG00000090683	CABZ01072488.1
ENSDARG00000086680	tec
ENSDARG00000086360	RP1 (2 of 2)
ENSDARG00000091110	CABZ01072815.1
ENSDARG00000037448	SLC2A13 (3 of 3)
ENSDARG00000078491	KIF21A (2 of 4)
ENSDARG00000039510	dbx2
ENSDARG00000022987	szl
ENSDARG00000090958	CU929174.1
ENSDARG00000074522	RFX7 (2 of 2)
ENSDARG00000088154	CABZ01072971.1
ENSDARG00000069385	RALGDS (1 of 3)
ENSDARG00000086664	CABZ01073054.1
ENSDARG00000088469	ZACN (1 of 2)
ENSDARG00000091482	CABZ01073098.2
